path,class,source,folder
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0006.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0008.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0009.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0010.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0011.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0013.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0014.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0015.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0016.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0017.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0018.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0019.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0020.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0022.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0024.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0025.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0026.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0027.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0030.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0031.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0032.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0033.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0034.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0035.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0037.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0038.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0039.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0041.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0042.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0043.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0044.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0045.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0048.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0049.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0050.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0055.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0056.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0057.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0058.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0136.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0139.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0141.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0142.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0143.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0145.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0147.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0149.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0151.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0153.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0155.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0158.jpg,Ferrugem,digipathos,digipathos_ferrugem
/Users/gabrielcasa/projetos/soja-research/data/images/digipathos_ferrugem/DSC_0159.jpg,Ferrugem,digipathos,digipathos_ferrugem
